STATE,REGION_TYPE,REASON_FOR_NON_RESPONSE,RESPONSE_STATUS,HH_WEIGHT_MS,AGE_GROUP,OCCUPATION_GROUP,EDUCATION_GROUP,GENDER_GROUP,SIZE_GROUP,TOTAL_EXPENDITURE,MONTHLY_EXPENSE_ON_FOOD,MONTHLY_EXPENSE_ON_EDIBLE_OILS,MONTHLY_EXPENSE_ON_VEGETABLES_AND_WET_SPICES,MONTHLY_EXPENSE_ON_FRUITS,MONTHLY_EXPENSE_ON_MILK_AND_MILK_PRODUCTS,MONTHLY_EXPENSE_ON_SALTY_SNACKS,MONTHLY_EXPENSE_ON_HEALTH_SUPPLEMENTS,MONTHLY_EXPENSE_ON_TEA,MONTHLY_EXPENSE_ON_COFFEE,MONTHLY_EXPENSE_ON_BOTTLED_WATER,MONTHLY_EXPENSE_ON_INTOXICANTS,MONTHLY_EXPENSE_ON_CIGARETTES_AND_TOBACCO,MONTHLY_EXPENSE_ON_CLOTHING,MONTHLY_EXPENSE_ON_FOOTWEAR,MONTHLY_EXPENSE_ON_CLOTHING_ACCESSORIES,MONTHLY_EXPENSE_ON_COSMETIC_AND_TOILETRIES,MONTHLY_EXPENSE_ON_DETERGENT_BARS,MONTHLY_EXPENSE_ON_DETERGENT_LIQUIDS_AND_POWDER,MONTHLY_EXPENSE_ON_MOBILES_AND_ACCESSORIES,MONTHLY_EXPENSE_ON_RESTAURANTS,MONTHLY_EXPENSE_ON_RECREATION,MONTHLY_EXPENSE_ON_ENTERTAINMENT,MONTHLY_EXPENSE_ON_HOUSE_RENT,MONTHLY_EXPENSE_ON_WATER_CHARGES,MONTHLY_EXPENSE_ON_SOCIETY_CHARGES,MONTHLY_EXPENSE_ON_OTHER_TAXES,MONTHLY_EXPENSE_ON_POWER_AND_FUEL,MONTHLY_EXPENSE_ON_COOKING_FUEL,MONTHLY_EXPENSE_ON_ELECTRICITY,MONTHLY_EXPENSE_ON_TRANSPORT,MONTHLY_EXPENSE_ON_LANDLINE_PHONE,MONTHLY_EXPENSE_ON_CELL_PHONE,MONTHLY_EXPENSE_ON_CABLE_TV,MONTHLY_EXPENSE_ON_INTERNET,MONTHLY_EXPENSE_ON_NEWSPAPERS_AND_MAGAZINES,MONTHLY_EXPENSE_ON_EDUCATION,MONTHLY_EXPENSE_ON_SCHOOL_ACADEMIC_BOOKS,MONTHLY_EXPENSE_ON_FICTION_NON_FICTION_BOOKS,MONTHLY_EXPENSE_ON_STATIONERY,MONTHLY_EXPENSE_ON_SCHOOL_COLLEGE_FEES,MONTHLY_EXPENSE_ON_PRIVATE_TUITION_FEES,MONTHLY_EXPENSE_ON_HOBBY_CLASSES,MONTHLY_EXPENSE_ON_SCHOOL_TRANSPORT,MONTHLY_EXPENSE_ON_HEALTH,MONTHLY_EXPENSE_ON_MEDICINES,MONTHLY_EXPENSE_ON_DOCTORS_PHYSIOTHERAPISTS_FEE,MONTHLY_EXPENSE_ON_MEDICAL_TESTS,MONTHLY_EXPENSE_ON_HYGIENE_PRODUCTS,MONTHLY_EXPENSE_ON_EMI_FOR_HOUSE,MONTHLY_EXPENSE_ON_EMI_FOR_VEHICLES,MONTHLY_EXPENSE_ON_OTHER_EMIS,MONTHLY_EXPENSE_ON_DOMESTIC_HELP,MONTHLY_EXPENSE_ON_POCKET_MONEY,MONTHLY_EXPENSE_ON_PETS
Tamil Nadu,RURAL,Could not be executed,Non-Response,1036.35,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,URBAN,Locked,Non-Response,2078.14,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,RURAL,No Failure,Accepted,2052.74,Grown-up - dominant,Industrial Workers,Matriculates minority household,Balanced,4 Members,57293,5590,360,660,295,665,0,0,525,385,525,660,655,2900,0,460,515,0,65,0,300,600,0,3420,500,0,0,3180,630,820,0,320,0,1200,0,420,430,650,0,270,780,900,0,0,1730,725,0,0,525,0,0,1000,0,42,1000
Odisha,RURAL,No Failure,Accepted,576.79,Grown-up - dominant,Small/Marginal Farmers,Households of all literates,Male Majority,5 Members,49534,4290,480,0,620,1160,400,660,360,0,0,1260,605,0,1400,85,880,1250,432,2200,0,0,0,4020,400,0,0,2742,900,425,0,0,0,250,0,0,370,0,0,1120,1150,800,600,0,480,550,0,0,170,4900,1200,3400,0,620,1100
Haryana,RURAL,Could not be executed,Non-Response,3444.18,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,RURAL,No Failure,Accepted,2170.71,Children - dominant,Entrepreneurs,All Matriculates household,Balanced,4 Members,37213,8250,0,860,150,750,190,660,610,0,200,705,750,700,0,20,515,530,80,0,1200,0,0,0,400,0,0,1467,0,1350,1060,475,420,399,0,0,920,0,0,410,0,0,700,550,650,700,0,0,480,3500,0,0,1180,0,180
Karnataka,RURAL,No Failure,Accepted,3412.77,Youngsters - dominant,Self-employed Entrepreneurs,Households of all literates,Balanced,4 Members,47925,7625,695,930,260,900,160,700,420,0,0,1400,835,0,0,0,1445,1010,80,300,2600,0,0,0,290,0,0,3450,1200,430,500,0,750,450,0,420,820,0,0,0,780,0,0,0,0,750,0,0,280,0,0,0,620,0,1850
Puducherry,URBAN,No Failure,Accepted,2530.63,Other households of the Young,Organised Farmers,Households of all literates,Male Majority,3 Members,74752,7270,225,820,480,0,60,0,342,0,0,320,1800,700,0,220,399,0,80,2200,1020,0,750,4020,50,600,0,3810,1430,2400,1400,0,0,0,0,480,0,758,0,0,0,0,500,1100,1320,350,600,0,0,0,5300,0,0,725,0
Madhya Pradesh,URBAN,Could not be executed,Non-Response,3072.7,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,No Failure,Accepted,2145.03,Balanced households with no Seniors,Support Staff,All Matriculates household,Female Majority,4 Members,46539,5310,480,890,620,880,120,660,0,0,570,330,650,650,620,1032,0,45,0,300,1220,600,0,0,0,0,0,2225,1179,430,920,150,150,560,0,480,0,0,0,290,800,0,0,0,1235,580,200,0,0,0,2200,1000,0,0,0
Maharashtra,URBAN,Could not be executed,Non-Response,2033.28,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,URBAN,No Failure,Accepted,1683.31,Balanced households with no Seniors,Wage Labourers,Households of all literates,Balanced,4 Members,51151,4290,400,850,295,2000,1080,0,30,1070,0,730,1230,650,0,250,955,0,450,0,876,1150,0,2700,250,0,0,1550,1050,665,460,200,280,320,0,0,0,0,0,420,500,0,0,450,365,0,0,820,0,6200,0,0,1180,385,0
Tripura,URBAN,Could not be executed,Non-Response,2281.98,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,Refused,Non-Response,3540.23,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,URBAN,No Failure,Accepted,1784.26,Grown-up - dominant,Wage Labourers,Households of all literates,Balanced,2 Members,68831,4720,740,540,390,2000,1070,425,150,0,90,765,1300,2200,1400,0,880,250,170,0,0,2500,750,4020,0,0,0,820,888,680,440,0,1699,530,0,700,640,600,0,0,1800,900,600,0,700,0,100,0,0,0,0,0,620,150,0
Gujarat,RURAL,No Failure,Accepted,3048.28,Balanced households with no Seniors,Industrial Workers,Households of some literates,Male Dominated,5 Members,41243,5490,230,800,0,2625,0,425,245,330,0,500,0,888,800,125,694,1080,400,0,1800,0,750,0,0,0,0,2225,900,750,440,0,550,410,0,0,720,0,0,350,0,0,1200,550,0,400,100,0,0,0,0,0,0,0,0
Telangana,RURAL,No Failure,Accepted,1857.77,Grown-up - dominant,Small/Marginal Farmers,Households of all literates,Male Dominated,5 Members,63097,6220,600,600,1080,435,210,0,165,0,90,2100,0,2500,750,215,0,0,1075,145,420,350,400,0,700,0,0,2350,0,0,380,200,1699,435,1000,0,0,1450,0,280,1600,0,0,550,0,400,600,0,250,0,3100,0,250,300,310
Punjab,RURAL,No Failure,Accepted,2064.18,Balanced households with Seniors,Non-industrial Technical Employees,Households of all literates,Balanced,2 Members,46178,8420,1135,525,260,1675,200,1316,0,0,0,1400,460,650,0,335,455,1140,550,599,850,350,0,0,500,0,0,880,0,1500,1440,0,800,1280,0,0,620,0,0,0,0,0,1100,550,1415,680,0,0,1045,5000,0,1000,0,42,310
Bihar,URBAN,Household not found,Non-Response,1817.06,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,URBAN,No Failure,Accepted,2588.27,Others households of Grown-ups,Non-industrial Technical Employees,Matriculates majority household,Male Majority,4 Members,69235,5215,860,800,0,840,0,0,450,390,260,2400,780,1250,0,450,0,0,1080,0,1500,350,0,2700,50,900,0,1280,1020,0,150,0,1400,650,0,0,892,560,0,520,5300,400,200,0,140,675,0,0,1065,5000,0,0,0,1200,0
Uttar Pradesh,URBAN,No Failure,Accepted,2133.49,Grown-up - dominant,Miscellaneous,Matriculates majority household,Male Dominated,4 Members,77678,8420,250,600,0,2800,1215,0,605,0,0,0,320,2200,1400,445,1585,142,385,0,2000,750,750,3560,500,600,750,1467,1350,0,500,320,1400,435,600,0,550,0,0,180,1150,0,0,0,1220,0,0,0,140,0,0,0,250,0,0
Gujarat,RURAL,No Failure,Accepted,2779.65,Grown-up - dominant,Industrial Workers,All Matriculates household,Male Majority,5 Members,56780,0,1250,300,800,2800,560,700,25,335,0,1060,1800,0,2500,0,685,1085,1075,900,850,400,0,4020,700,0,0,4450,1050,196,568,0,700,330,0,400,940,758,0,420,0,1500,0,0,180,0,0,0,63,0,0,0,0,0,0
Uttar Pradesh,RURAL,No Failure,Accepted,1040.24,Balanced households with no Seniors,Non-industrial Technical Employees,Graduates minority household,Balanced,4 Members,69363,5220,825,1950,480,2280,465,1250,0,0,0,780,0,1900,700,130,685,1040,630,0,1104,350,400,0,300,0,0,1770,1230,520,1420,320,0,0,0,0,0,758,0,0,0,0,0,0,470,630,0,0,0,5000,2400,0,0,1500,0
Karnataka,URBAN,No Failure,Accepted,1678.16,Grown-up - dominant,Small Traders/Hawkers,Households of some literates,Male Dominated,4 Members,44218,4573,550,0,520,850,370,900,330,0,0,765,1280,700,0,0,1243,35,0,620,1020,0,0,0,0,400,0,2315,0,670,0,60,330,0,0,420,410,758,0,280,300,0,1000,0,300,1600,0,820,525,0,0,0,0,42,580
Delhi,URBAN,Household not found,Non-Response,2089.34,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,URBAN,No Failure,Accepted,2299.6,Balanced households with no Seniors,Wage Labourers,Matriculates majority household,Balanced,5 Members,65979,4965,450,0,280,1550,1135,425,0,0,0,730,950,0,620,1032,399,1060,555,145,460,0,750,3050,250,0,0,1060,1000,300,0,0,1400,350,0,450,1200,0,0,0,1900,0,1000,0,365,360,0,0,335,5000,0,0,0,1200,0
Uttarakhand,URBAN,Could not be executed,Non-Response,2733.42,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,URBAN,Household not found,Non-Response,1439.56,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,Could not be executed,Non-Response,2457.92,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,URBAN,Household not found,Non-Response,995.93,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,RURAL,No Failure,Accepted,1766.17,Seniors - dominant,Support Staff,All Matriculates household,Male Majority,3 Members,53393,5360,590,730,0,2030,50,0,1070,480,0,500,0,0,250,335,518,150,60,450,0,0,0,1960,400,600,750,4450,0,180,1100,60,250,650,0,0,640,0,0,180,1150,0,0,0,220,0,0,600,0,0,0,2300,0,1600,0
Uttar Pradesh,URBAN,No Failure,Accepted,2470.31,Balanced households with no Seniors,Wage Labourers,Households of all literates,Balanced,4 Members,49999,7702,580,450,445,0,0,0,560,1070,0,705,835,0,0,225,928,600,1050,800,600,0,0,2740,300,0,0,2670,1430,1580,1190,60,400,1180,600,0,410,1100,0,440,560,900,0,0,693,0,0,0,530,0,0,0,0,0,0
Kerala,URBAN,No Failure,Accepted,1214.05,Youngsters - dominant,Small/Marginal Farmers,Matriculates majority household,Female Majority,2 Members,70820,7270,225,550,550,0,1120,1300,420,0,800,580,120,900,250,0,1880,250,240,0,420,450,0,0,290,0,0,1050,1430,165,0,500,0,550,0,420,410,0,0,0,900,500,0,0,1520,300,0,0,0,5000,0,1600,0,1600,1850
Madhya Pradesh,RURAL,Household not found,Non-Response,1414.9,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,No Failure,Accepted,1599.07,Balanced households with no Seniors,Wage Labourers,Households of all literates,Male Majority,4 Members,46690,0,740,900,150,1170,0,1316,330,480,90,765,600,0,0,85,900,100,80,620,1690,350,400,0,0,400,0,1095,0,0,1280,475,0,480,0,0,0,758,0,770,0,0,200,550,220,630,0,0,0,3500,0,0,0,1600,1850
Karnataka,RURAL,No Failure,Accepted,1930.2,Balanced households with no Seniors,Entrepreneurs,Households of all literates,Balanced,5 Members,45448,4700,250,520,850,1170,200,0,250,0,525,935,610,850,0,0,810,465,0,145,1500,0,0,0,650,0,0,2900,1179,860,285,475,1400,230,0,400,0,0,0,0,0,0,0,0,0,1600,0,0,430,0,0,0,250,810,0
Maharashtra,RURAL,No Failure,Accepted,816.72,Balanced households with no Seniors,Wage Labourers,All Matriculates household,Male Majority,3 Members,55630,0,1135,980,525,720,210,660,0,0,0,1075,0,888,800,0,1429,100,0,620,460,0,750,0,0,0,0,3450,990,2400,0,450,1199,230,1000,625,650,1100,0,0,800,0,800,0,0,180,200,600,0,5000,0,0,0,700,180
Tamil Nadu,URBAN,No Failure,Accepted,2925.8,Others households of Grown-ups,Self-employed Entrepreneurs,Matriculates dominated household,Balanced,5 Members,37027,3385,765,950,0,1640,35,0,0,480,90,1400,0,0,750,420,480,1075,0,1238,0,0,0,2950,1200,0,750,1095,1150,570,405,0,0,0,0,420,0,0,0,0,0,0,800,450,1805,0,0,0,480,3500,0,0,0,200,0
Uttarakhand,RURAL,No Failure,Accepted,2209.27,Youngsters - dominant,Small/Marginal Farmers,Graduates majority household,Balanced,5 Members,51248,7136,480,540,450,1160,120,870,1080,25,570,1100,400,0,700,85,375,0,70,0,1000,2500,350,3420,0,0,0,4150,1120,1100,285,0,550,350,0,380,370,320,0,520,650,0,200,550,1320,580,700,600,430,0,0,0,0,0,0
Uttar Pradesh,RURAL,No Failure,Accepted,1830.12,Grown-up - dominant,Organised Farmers,Matriculates majority household,Male Majority,1 Member,35308,0,1250,730,520,0,400,250,165,0,220,0,0,0,200,45,0,0,180,0,1440,1150,400,0,50,0,0,1800,1135,0,350,0,750,0,600,0,1480,600,0,750,0,400,0,0,425,360,0,0,500,5000,5300,0,0,400,310
Maharashtra,URBAN,No Failure,Accepted,2648.8,Grown-up - dominant,Small/Marginal Farmers,Households of all literates,Balanced,2 Members,34206,4537,440,1480,0,1160,35,1250,386,390,0,330,300,900,300,0,910,242,1050,0,1000,0,1200,0,160,0,0,2225,1300,0,575,450,250,320,0,400,720,0,0,240,1600,900,0,0,0,725,0,0,530,0,2200,0,0,0,0
Jharkhand,URBAN,No Failure,Accepted,3329.52,Balanced households with no Seniors,Non-industrial Technical Employees,Households of all literates,Male Dominated,4 Members,46580,5050,0,650,110,870,1090,0,0,0,0,680,1000,2900,290,0,1489,30,1045,300,1800,0,0,0,250,0,0,0,1230,0,0,150,150,0,0,0,370,0,0,400,1800,0,0,300,760,300,700,0,160,0,0,0,600,42,0
West Bengal,RURAL,Household not found,Non-Response,534.58,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,RURAL,No Failure,Accepted,1963.47,Grown-up - dominant,Self-employed Entrepreneurs,Households of all literates,Male Dominated,5 Members,51112,0,620,800,480,1970,480,300,555,550,280,580,500,1900,650,160,1355,230,490,0,0,0,550,0,200,900,0,0,730,0,1420,0,550,0,0,0,5580,0,0,1030,0,0,0,0,1805,420,0,0,250,5860,0,2300,0,0,580
